file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
609_Pop_music.wav,0.036,0.057,1.86,3.5,0.175,0.162,0.045,0.034,16.606,13.296,15.925,15.537,16.275,16.261,28.048,6.057,4.467,4.573,3.893,3.808,3.691,7.546,-260.692,43.313,-7.039,9.18,3.865,0.702,-5.252,6.578,0.107,3.057,-0.916,3.25,0.371,5.766,0.208,3.238,0.06,4.172,-1.237,2.582,199.127,54.178,20.653,18.085,15.636,9.473,10.9,8.767,8.044,8.58,8.494,8.454,7.91,7.228,8.833,8.011,7.052,9.464,6.682,6.181
610_Rock_music.wav,0.059,0.074,1.041,0.105,0.141,0.035,0.073,0.013,19.715,13.201,17.133,15.885,17.269,16.682,35.089,4.429,3.653,4.409,2.864,3.088,2.978,2.583,-103.569,77.074,-6.254,19.48,-19.928,10.341,-19.461,9.033,-9.488,-5.314,-4.464,-2.109,-11.907,-5.584,-8.315,-2.183,-3.87,-0.628,-7.184,6.063,23.638,12.343,9.581,8.101,9.576,5.473,7.758,5.969,5.651,6.022,7.253,6.138,5.308,5.406,5.391,5.156,5.422,5.978,7.196,7.166
611_Rhythm_blues.wav,0.036,0.047,1.538,1.123,0.122,0.031,0.045,0.01,17.738,14.097,16.981,18.711,20.515,20.317,33.097,5.03,3.268,3.691,3.272,3.17,2.663,2.631,-181.099,92.825,-6.661,44.721,-0.932,6.767,4.613,9.766,-3.592,6.806,-0.24,-5.858,-10.314,2.635,-6.559,0.85,-4.857,1.55,-0.056,0.914,31.406,11.137,10.039,11.93,6.597,6.351,11.852,8.131,5.683,8.636,7.588,7.873,7.681,8.094,7.423,6.226,5.502,5.46,6.841,6.302
614_Pop_music.wav,0.168,0.218,1.263,0.558,0.111,0.099,0.21,0.058,21.876,16.33,18.42,17.171,17.409,17.156,30.913,4.872,4.724,4.904,4.067,3.178,2.492,2.479,-65.324,82.579,9.975,18.666,8.641,9.93,5.008,6.612,-2.833,-0.958,-1.778,2.432,-4.815,3.302,-3.94,2.342,-1.182,2.545,-3.05,5.49,58.322,32.82,25.745,16.548,14.979,12.627,10.371,11.444,9.041,8.896,7.915,8.169,6.906,8.631,7.943,7.391,7.093,6.566,7.764,7.615
616_Techno.wav,0.14,0.178,1.132,0.261,0.196,0.109,0.175,0.03,22.888,13.877,16.916,17.069,17.331,19.074,33.093,4.815,3.326,3.827,2.997,2.328,2.788,2.72,-18.134,66.334,-2.129,13.704,-7.247,-1.933,-11.554,-1.294,-7.839,3.38,-7.956,-4.404,-8.134,-7.968,-13.381,-3.025,-9.868,-6.779,-9.854,1.058,32.883,40.25,19.733,15.595,8.443,7.293,6.096,7.413,5.775,6.199,6.633,5.63,4.981,5.884,6.329,5.614,4.805,7.199,5.439,5.961
617_Pop_music.wav,0.127,0.165,1.218,0.482,0.056,0.019,0.157,0.05,22.795,16.918,21.149,20.829,22.45,28.547,54.334,5.219,3.682,3.945,2.791,3.742,4.987,4.421,-160.886,177.714,-23.818,21.175,-25.155,10.199,-12.438,-2.166,-19.577,4.516,-13.245,-12.687,1.73,-9.109,1.692,-12.242,1.181,-6.422,-2.192,-5.925,26.686,20.375,15.284,11.023,11.086,12.353,12.818,10.865,8.55,9.966,6.58,6.875,6.44,7.461,6.737,6.484,6.503,8.732,9.826,6.898
618_Pop_music.wav,0.155,0.2,1.21,0.434,0.084,0.062,0.191,0.061,19.452,17.023,18.887,18.111,17.366,16.409,30.609,5.298,4.289,4.569,4.455,3.734,2.885,2.457,-77.459,71.317,20.616,24.418,8.016,11.609,4.755,8.284,0.872,8.409,-2.15,6.019,0.74,6.507,-4.147,1.523,-4.886,0.663,-4.644,0.322,41.492,20.938,20.089,12.012,9.071,10.224,8.583,7.209,8.584,7.546,7.898,7.287,6.98,6.196,6.454,6.19,6.173,7.539,6.662,8.411
620_Techno.wav,0.188,0.254,1.065,0.434,0.037,0.02,0.242,0.075,16.822,13.029,16.284,17.468,16.644,16.538,31.885,4.857,3.767,4.218,4.025,3.01,2.416,1.959,-110.54,98.432,19.487,33.651,10.408,20.661,8.19,17.036,10.422,16.059,6.354,8.216,-1.904,2.425,-2.606,4.661,-0.45,5.366,0.839,5.504,58.806,29.059,11.742,8.835,6.789,4.993,6.988,7.619,6.986,7.719,7.679,7.603,6.308,6.141,7.118,4.598,4.908,6.639,5.724,7.057
621_Rhythm_blues.wav,0.086,0.118,1.386,1.191,0.116,0.096,0.107,0.051,21.814,17.405,21.083,19.103,18.664,19.061,31.768,6.156,5.831,6.805,4.899,4.648,4.395,3.225,-166.539,61.011,7.974,39.592,1.535,9.728,0.355,3.904,-4.837,1.67,-3.992,4.995,3.144,3.682,-3.956,9.468,-7.34,1.426,-0.365,-6.031,75.866,42.144,26.824,21.872,20.821,14.275,15.398,16.816,12.188,12.659,13.831,12.093,10.921,9.459,8.319,9.349,8.892,9.09,8.676,11.352
622_Reggae.wav,0.13,0.174,1.218,0.69,0.075,0.053,0.162,0.063,21.618,15.991,19.294,19.166,17.755,16.868,34.043,5.102,4.975,5.0,4.323,5.067,3.298,2.598,-120.137,88.442,12.228,26.206,0.847,22.869,1.759,11.957,0.371,11.312,-3.457,7.906,3.702,4.652,0.753,12.651,-4.084,2.757,-3.369,4.794,60.536,29.606,18.047,17.722,13.581,10.966,10.563,8.279,7.16,7.606,8.044,6.735,7.179,9.824,8.6,7.413,7.218,8.191,6.68,8.368
