url,start_time,end_time,class_label
--1rvyPa8UM, 40.000, 50.000,Hip_hop_music
--4kp9W7cNY, 160.000, 170.000,Reggae
--6HJzEIsFs, 30.000, 40.000,Rhythm_blues
--AQ3p3ymeE, 70.000, 80.000,Rock_music
--BMVWju1-w, 30.000, 40.000,Rhythm_blues
--Cc0ZmStCs, 30.000, 40.000,Rhythm_blues
--Fti-jdXEI, 240.000, 250.000,Vocal
--GXulx19TI, 80.000, 90.000,Pop_music
--IsizwatBY, 30.000, 40.000,Rhythm_blues
--MLNYqE2ec, 30.000, 40.000,Pop_music
--OWKKCOydU, 30.000, 40.000,Techno
--RgmM7N2EU, 0.000, 10.000,Reggae
--S2EYGEwfE, 30.000, 40.000,Techno
--WxoinaQzk, 30.000, 40.000,Pop_music
--bPD3OLPXw, 90.000, 100.000,Pop_music
--eAUZ9r0r8, 140.000, 150.000,Rhythm_blues
--fv5B8LSOA, 140.000, 150.000,Rhythm_blues
--hpdFXotM0, 7.000, 17.000,Pop_music
--iIcadFu9c, 10.000, 20.000,Reggae
--iQZuCF9wY, 30.000, 40.000,Rhythm_blues
--jx9vb7eKE, 30.000, 40.000,Techno
--kYBfYfwxw, 30.000, 40.000,Techno
--obVyYWq6c, 50.000, 60.000,Hip_hop_music
--qS-tOzHsE, 30.000, 40.000,Rhythm_blues
--tsENImDFw, 30.000, 40.000,Pop_music
--yIlcZ27iI, 30.000, 40.000,Pop_music
--zznQC7TD4, 30.000, 40.000,Pop_music
-02F7gRGYHw, 170.000, 180.000,Hip_hop_music
-044saZCrTg, 30.000, 40.000,Rhythm_blues
-06BLnbz3dw, 30.000, 40.000,Rhythm_blues
-08IuAXloCI, 60.000, 70.000,Rock_music
-0B_6_p16I8, 0.000, 10.000,Techno
-0CZPzun7ls, 30.000, 40.000,Techno
-0DQ1Fv8Ej4, 10.000, 20.000,Rhythm_blues
-0DdLm4S2ls, 10.000, 20.000,Hip_hop_music
-0EcY-RcH8M, 80.000, 90.000,Rock_music
-0G0ddCf6rY, 190.000, 200.000,Hip_hop_music
-0JwMnnZPw0, 30.000, 40.000,Pop_music
-0Jx2nAH0c0, 40.000, 50.000,Hip_hop_music
-0UVPeiDBtE, 30.000, 40.000,Rhythm_blues
-0Un4kjF9Vw, 410.000, 420.000,Rock_music
-0WT4SnsffQ, 30.000, 40.000,Rhythm_blues
-0XOVV_BJYY, 400.000, 410.000,Rock_music
-0bk4LybTJY, 170.000, 180.000,Hip_hop_music
-0cmQEHsMTg, 0.000, 10.000,Vocal
-0ek4TgXGE4, 270.000, 280.000,Reggae
-0gCauPHV_4, 40.000, 50.000,Hip_hop_music
-0ilrSI-pIc, 30.000, 40.000,Pop_music
-0mAeQpCLFs, 30.000, 40.000,Rhythm_blues
-0mXoNTk-Ew, 160.000, 170.000,Rock_music
-0q4iI27ZJU, 30.000, 40.000,Pop_music
-0sqgbUNris, 190.000, 200.000,Rock_music
-1-T9f2G6vk, 30.000, 40.000,Techno
-10MdoWOrKU, 100.000, 110.000,Techno
-19alzpMU-c, 430.000, 440.000,Rock_music
-1LNS-KYpGY, 30.000, 40.000,Rhythm_blues
-1MFycyvV1U, 30.000, 40.000,Techno
-1MzwTB9eBA, 380.000, 390.000,Rock_music
-1PT8XqK41k, 30.000, 40.000,Pop_music
